director_id,movie_id
4583,B00000INBA
26100,B004ZXW2PE
1501,B00000INBI
31972,B0006GAI6E
16065,B00004W221
32747,B001C0NMWK
16851,B004R6VHPK
39741,B004R6VHPK
27562,B0010C54DU
30772,B003ODKZXW
23266,B007I39G3O
2714,B003U6SJX6
37807,B007OWUZE8
27693,B001M4154S
9872,B005QB2JR0
32926,B001AYMMK6
1880,B003ICXC02
23375,B00007L4N8
37611,B00005JYAY
10952,B000CCD1XY
34158,B00170M2D0
35503,B009HNDF3K
26111,B000CCD1XE
16901,B009K37SUS
10952,B000CCD1XO
11907,B001CE9DAG
27772,B00000405W
31711,B00000405W
21124,6300208397
36302,B009N4Z9XW
35670,B005FIXA6S
35503,B00284EMI2
38432,B001CUB9J8
26855,B000KX0IM2
3262,B0006HBV46
10942,B000OVLAB8
3985,B002YA07RA
29787,B002YA07RA
36302,B000NOIVTA
35151,B000H5V8DG
646,B000H5V8DG
23886,B000H5V8DG
1968,B000H5V8DG
24835,B000H5V8DG
11563,B000NOIVTK
34451,B004ULNJOO
15268,B003A02O38
39210,B00005NHIR
16506,B001CMZJUG
32135,B000G75B2E
16644,B004BAO4CK
9347,B000003O0Z
15957,B0021542BK
38510,B0009UZGHI
4788,B002SI7UCI
26684,B000NOIVT0
12716,B0001WTUZI
35023,B000P6R55W
9166,B00006JU7U
24260,B009CWWCYO
24839,B000ZKB072
18795,B000KX0IMW
20438,B002F4YG4K
21061,B0048FQFLG
35676,B002PBP8HW
15216,B008UO5U9E
25373,B001OKQ7BG
9202,B000KX0IMM
13980,B000KX0IMM
9202,B000KX0IMC
13980,B000KX0IMC
21229,6302722055
11551,B00005NHIU
25994,076780046X
34018,6303890334
32926,B003GC47YY
14913,B000JJ5F7U
29943,B00005KA8M
10702,B00005Y6Y2
28047,B0001NBNF2
18585,1931046972
11504,B000BB1ME6
14913,B000JJ5F7K
17212,B00351U934
17999,B0000WU79C
16671,B0000WU79C
33485,B000JJ5F70
10899,B000JJ5F70
35835,B000JJ5F70
27808,B000W12MWQ
32379,1569381704
3254,1569381704
28049,B00076ON5U
36155,B00076ON5U
22661,B000BB1MEG
39808,B003WF4574
36324,B000053VQE
35589,B000053VQE
30757,B00005Q58B
1873,B00005UW7E
11326,B000053VQH
10748,B004RAJ1D6
20971,B0018Z5C54
35582,B0044WQIM4
37151,B000RA2R18
19737,B000OFOSOA
5531,B00932ADHQ
30314,B00932ADHQ
9825,B00319HT9W
7887,B00000F4KD
24288,6303864716
9825,B00319HT9M
30084,B000ILYYY4
34113,B00005QC3M
13491,B00005QC3M
22586,B003BRYA9G
2138,B00004WCMK
36898,B004097IKW
23911,B004097IKW
21768,B00004WCMJ
470,B00022PZJW
10500,B000299URS
37432,B0006GAOL8
37635,B00004WCMB
35503,B001YU7XQO
32500,6304366035
26927,B00004WCMU
27554,B00004WCMT
18448,6303154735
22279,B00000IC8J
12419,B00000IC8J
18841,B00000IC8L
27942,B00000IC8L
276,B00000IC8L
38592,B00000IC8L
10897,B000V4FTM4
9370,B000FUF758
21597,B00006JU7L
39828,B00006JU7L
708,B00005UW7H
17765,B000068C2L
39230,B001J3NF54
29622,B0049FFVGU
36372,6300233316
5069,B000XJD37K
37913,B004G5PZ00
34985,B000KF0P2S
27302,B004M8SRHY
3615,B0016PO9KU
21293,B002IRYYK0
14565,B002IRYYK0
14475,B00164E6HC
33899,B00005UW7I
12574,B004XWGZAU
28984,B00015N4T8
28394,B004ZVHSBY
24197,B00164E6HM
35825,B0006HBZXS
13703,B004HRDMHK
5664,B00005UW7J
31147,B001PTP3J8
33523,B007HOQ574
15707,B00004WCM9
34620,B00004WCM9
24403,B0050GCJO4
32963,6302458900
2849,6302458900
20652,6302458900
21138,6304646127
35021,B00004WCM2
37807,B000YTI3QA
4740,B000055YXI
18614,B000055YXI
34319,B000J0XJC2
32926,B001XXJQDU
